hotel_name,job_type,job_title,country,city
Bulgari Resort Dubai, Internship,Culinary Pastry Intrn, United Arab Emirates,Dubai
Bulgari Hotel Roma, Internship,Food and Bvrag Intrn, Italy,Rome
Bulgari Hotel Roma, Internship,Houskping Coordinator Intrn, Italy,Rome
Sani/Ikos Group, Internship,Food  and  Bvrag Intrn,Greece,Greece
Almanac Barcelona, Internship,Evnts Intrn, Spain,Barcelona
The Orange Academy, Traineeship,Erasmus+ in Th Nthrlands,Netherlands,Netherlands
The Hoxton , Internship,Evnts Oprations Intrn, Netherlands,Amsterdam
The Hoxton , Internship,Food  and  Bvrag Intrn – Lotti’s, Netherlands,Amsterdam
The Hoxton , Internship,Food  and  Bvrag Managmnt Intrn – Lotti’s, Netherlands,Amsterdam
Bulgari Hotel Roma, Internship,Commis di cucina stag, Italy,Rome
Mövenpick Hotel Amsterdam City Centre, Traineeship,Front Offic Train, Netherlands,Amsterdam
Stairway Management, Internship,Assistant() Rvnu Managr  - Paris - Stag 6 mois, France,Paris
HappyCulture Hôtels, Apprenticeship,Chargé d Formation (H/F) n altrnanc, France,Paris
HappyCulture Hôtels, Internship,Stagiair Assistant Commrcial (H/F), France,Paris
Hotel Plaza Athénée, Internship,Stag Boulangri H/F, France,Paris
Bulgari Resort Dubai, Internship,Culinary Pastry Intrn, United Arab Emirates,Dubai
Bulgari Hotel Roma, Internship,Food and Bvrag Intrn, Italy,Rome
Bulgari Hotel Roma, Internship,Houskping Coordinator Intrn, Italy,Rome
The Ascott Limited , Apprenticeship,Récptionnist n altrnanc (F/H), France,Paris
The Ascott Limited , Apprenticeship,Assistant Gouvrnant n altrnanc (F/H), France,Paris
European Camping Group, Internship,Stagiair Assistant n Communication t Information Produit (H/F), France,Aix-en-Provence
European Camping Group, Internship,Agnt d résrvations n altrnanc F/H, France,Aix-en-Provence
European Camping Group, Internship,Assistant markting n stag (H/F), France,Aix-en-Provence
Sani/Ikos Group, Internship,Food  and  Bvrag Intrn,Greece,Greece
Almanac Barcelona, Internship,Houskping Suprvisor Intrn, Spain,Barcelona
Almanac Barcelona, Internship,Front Dsk Intrn, Spain,Barcelona
Almanac Barcelona, Internship,Evnts Intrn, Spain,Barcelona
Almanac Barcelona, Internship,Prácticas n Compras, Spain,Barcelona
The Orange Academy, Traineeship,Erasmus+ in Th Nthrlands,Netherlands,Netherlands
The Hoxton , Internship,Evnts Oprations Intrn, Netherlands,Amsterdam
The Hoxton , Internship,Food  and  Bvrag Intrn – Lotti’s, Netherlands,Amsterdam
The Hoxton , Internship,Food  and  Bvrag Managmnt Intrn – Lotti’s, Netherlands,Amsterdam
HappyCulture Hôtels, Apprenticeship,Apprnti Rssourcs Humains (H/F), France,Paris
Bulgari Hotel Roma, Internship,Commis di cucina stag, Italy,Rome
"Radisson Hotel Group, Madrid Office", Internship,Crativ Srvic Dsk Train, Spain,Madrid
Hotel Arts Barcelona, Internship,Sals Intrnship, Spain,Barcelona
Courtyard by Marriott Brussels, Internship,Groups  and  Evnts Rsrvations Intrn (6 months), Belgium,Brussels
El Palace Hotel Barcelona, Internship,Prácticas RRHH Hotl 5* Gl, Spain,Barcelona
"CARDO ROMA, AUTOGRAPH COLLECTION", Internship,Stag in Houskping Dpartmnt, Italy,Rome
Disneyland Paris, Internship,Altrnanc – Tchnicin(n) d maintnanc n géni climatiqu (F/H/NB), France,Marne-la-Vallée
Palladium Hotel Group, Internship,Prácticas Dpt Compras(Digitalizción) -OOCC Madrid, Spain,Madrid
Bulgari Hotel Milano, Internship,Kitchn Intrn, Italy,Milan
International Recruitment Exchange Services, Apprenticeship,J1 Intrnship and Trainship Opnings, United States,Hot Springs
International Recruitment Exchange Services, Internship,Culinary PAID Intrnship, United States,San Diego
International Recruitment Exchange Services, Internship,J1 Intrnship and Trainship Opnings, United States,Charlottesville
International Recruitment Exchange Services, Internship,Front Offic Paid Intrn and Train, United States,Indianapolis
International Recruitment Exchange Services, Internship,PAID Front Offic Suprvisory J1 Intrn/Train, United States,Miami Beach
International Recruitment Exchange Services, Internship,PAID 9-month Suprvisory/Managmnt Train/Intrn Program, United States,North Carolina
International Recruitment Exchange Services, Internship,"Australia Intrnship - FO, FB and Culinary",Australia,Australia
Casino Barrière d'Enghien, Internship,Chf d Rang n altrnanc H/F, France,Enghien-les-Bains
The President Brussels Hotel, Internship,Front Offic Agnt Intrnship, Belgium,Brussels
Crowne Plaza Paris Republique, Internship,Attaché() commrcial intrn, France,Paris
The President Brussels Hotel, Internship,Groups Mtings  and  Evnts Intrnship, Belgium,Brussels
European Camping Group, Internship,Mloop- of afstudrstag als Customr Car Spcialist in Alkmaar, Netherlands,Alkmaar
European Camping Group, Internship,Mloop- of afstudrstag als Customr Car Spcialist in Amrsfoort, Netherlands,Alkmaar
The President Brussels Hotel, Internship,Financ Intrnship, Belgium,Brussels
Disneyland Paris, Internship,Altrnanc – Assistant() Ingéniur() assuranc qualité fournissur (F/H/NB), France,Marne-la-Vallée
Disneyland Paris, Internship,Altrnanc - Chargé() d projts communication Food and Bvrag (F/H/NB), France,Marne-la-Vallée
Disneyland Paris, Internship,Altrnanc – Chargé() d projt Food and Bvrag (F/H/NB), France,Marne-la-Vallée
Disneyland Paris, Internship,Altrnanc - Chargé() d projts signalétiqu Food and Bvrag (F/H/NB), France,Marne-la-Vallée
Disneyland Paris, Internship,Altrnanc – Assistant() chargé() d casting spctacl (F/H/NB), France,Marne-la-Vallée
Disneyland Paris, Internship,Altrnanc – Dssinatur(ric) / Modlur(s) 3D (F/H/NB), France,Marne-la-Vallée
Restaurant Le Jeu de l'Arc, Internship,STAGIAIRE SERVICE/CUISINE (Food and Bvrag/Food and Bvrag), Switzerland,Geneva
The Hoxton , Internship,Evnts Ops Intrn, Spain,Barcelona
Novotel Group, Internship,Adjoint d dirction - Stag, France,Paris
ACCOR, Apprenticeship,Altrnant n Récption H/F, France,Lille
Fairmont Hotels and Resorts, Internship,Stagiair n Dévloppmnt Durabl (H/F/D), Canada,La Malbaie
Fairmont Hotels and Resorts, Internship,Stagiair Vnts  and  Markting (H/F/D), Canada,La Malbaie
Pullman Hotels and Resorts, Internship,Sals  and  Evnts Excutiv Intrnship, Belgium,Brussels
Hotel Plaza Athénée, Internship,Stag Cuisin Plaza Athéné (Rlais Plaza ou Cuisin Gastronomiqu) H/F, France,Paris
Swissôtel Hotels and Resorts, Internship,Financ and Front Offic Intrn, Netherlands,Amsterdam
ACCOR, Apprenticeship,Auszubildnd Fachmann/Fachfrau für Rstaurants und Vranstaltungsgastronomi (m/w/d), Germany,Wiesbaden
ACCOR, Apprenticeship,Apprnti() Tchnicin d Maintnanc H/F, France,Paris
Pullman Hotels and Resorts, Internship,Food  and  Bvrag Managmnt Training (intrnship), Belgium,Brussels
Pullman Hotels and Resorts, Internship,Food and Bvrag Managmnt Training (intrnship), Belgium,Brussels
ACCOR, Internship,Food and Bvrag Intrn, Italy,Rome
ACCOR, Internship,Stagiair Sals, France,Paris
ACCOR, Apprenticeship,Hotl Apprnticship (m/f/d), Germany,Berlin
ACCOR, Internship,Initiativ application (m/f/d), Germany,Munich
ACCOR, Internship,Initiativbwrbung (m/w/d), Germany,Munich
Novotel Group, Apprenticeship,Chargé() d clintèl n altrnanc à comptr d sptmbr 2024 (H/M/X), France,Annecy
ACCOR, Apprenticeship,Chargé d Communication xtrn - Altrnanc (), France,Paris
ACCOR, Internship,Stag Assistant Trésorir systèms d'information H/F, France,Issy-les-Moulineaux
Pullman Hotels and Resorts, Apprenticeship,"Altrnanc Assistant Administratif, Hygièn  and  RSE - Cuisin", France,Paris
ACCOR, Apprenticeship,APPRENTI(E) GOUVERNANT(E) H/F, France,Vanves
ACCOR, Apprenticeship,Altrnant Rssourcs Humains H/F - 2 ans - A partir d fin sptmbr 2024, France,Aix-en-Provence
Pullman Hotels and Resorts, Internship,Stag Rssourcs Humains, France,Courbevoie
Pullman Hotels and Resorts, Apprenticeship,Apprnti() Suprvisur. Rstaurant UMAMI H/F - Pullman Montparnass 4*, France,Paris
ACCOR, Internship,STAGIAIRE CHEF DE PROJETS EVENEMENTIELS (), France,Paris
ACCOR, Apprenticeship,Apprnti() récption (H/F/X), France,Paris
ACCOR, Apprenticeship,Apprnti() rstauration (H/F/X), France,Paris
ACCOR, Apprenticeship,Apprnti() Gouvrnant() (H/F/X), France,Paris
ACCOR, Apprenticeship,Apprnti() cuisin (H/F/X), France,Paris
ACCOR, Internship,Stagiair Gust rlations (H/F/X), France,Paris
ACCOR, Internship,Stagiair rstauration (H/F/X), France,Paris
ACCOR, Internship,STAGIAIRE Assistant() Rssourcs Humains, France,Vanves
ACCOR, Apprenticeship,APPRENTI(E) Assistant() Rssourcs Humains, France,Vanves
ACCOR, Internship,Houskping Suprvisor Intrn, Netherlands,Amsterdam
ACCOR, Internship,Stagiair Récption (H/F/X), France,Paris
ACCOR, Apprenticeship,Apprnti() Tchnicin d Maintnanc H/F, France,Paris
Swissôtel Hotels and Resorts, Apprenticeship,Enginr Apprntic, United States,New Chicago
ACCOR, Internship,Food  and  Bvrag Intrn  – Lotti’s, Netherlands,Amsterdam
Pullman Hotels and Resorts, Apprenticeship,Apprnti() Commis d cuisin Fi'lia H/F - Pullman Montparnass 4*, France,Paris
Pullman Hotels and Resorts, Apprenticeship,Apprnti() Commis d cuisin Pâtissri H/F - Pullman Montparnass 4*, France,Paris
Pullman Hotels and Resorts, Apprenticeship,Apprnti() Commis d cuisin Banqut H/F - Pullman Montparnass 4*, France,Paris
Pullman Hotels and Resorts, Apprenticeship,Apprnti() Commis d cuisin Umami  H/F - Pullman Montparnass 4*, France,Paris
ACCOR, Apprenticeship,Apprnti Rstaurant H/F, France,Orly
Novotel Group, Apprenticeship,Apprnti commrcial H/F, France,Paris
ACCOR, Internship,Stagiair Financ-Comptabilité (), France,Puteaux
ACCOR, Internship,Stagiair srvur polyvalnt, France,Lille
Fairmont Hotels and Resorts, Internship,Stagiair Groups  and  Evnts, Switzerland,Geneva
Fairmont Hotels and Resorts, Internship,Stagiair n Récption, Switzerland,Geneva
ACCOR, Internship,Culinary Intrn, United Arab Emirates,Dubai
ACCOR, Apprenticeship,"Apprnti. Chargé. d Mission Qualité, Résaux sociaux t RSE H/F", France,Paris
ACCOR, Apprenticeship,APPRENTI(E) RECEPTIONNISTE, France,Vanves
ACCOR, Internship,AC Tchnician - Mövnpick Rsort  and  Rsidncs Aqaba, Jordan,Aqaba
ACCOR, Apprenticeship,Apprnti() Rstauration, France,Paris
ACCOR, Apprenticeship,APPRENTI CHEF DE PROJET EVENT (), France,Toulouse
